PARENT_INFORMATION, PR_INF
STUDENTS, STUD
STD_ATTENDANCIES, STD_ATND
STD_CRS_DETAILS, STD_CRS_DT
DEPARTAMENTS, DEPRT
COURSES, CRS
ACD_SESSIONS, ACD_SESS
XAM_RESULTS, XAM_RSL
XAM, XAM
STD, STD
ONLINES, ONLN
FAC_CRS_DETAILS, FAC_CRS_DT
FACULTIES, FAC
XAM_TYPES, XAM_TP
FUL_TME, FUL_TME
PAT_TME, PAT_TME
FAC_LOGIN_DETAILS, FAC_LG_DT
DEPARTMENTS, DEPRT
PARENTD_INFORMATIONS, PR_INF
STD_CRS_DETAILS_COURSES, STD_CRS_DT_CRS
STD_CRS_DETAILS_STUDENTS, STD_CRS_DT_STD
STUDENTS_PARENTD_INFORMATIONS, STD_PR_INF
DEPARTMENTS_PK, DPR_PK
PARENTD, PR
INFORMATIONS, INF
RESULTS, RES
TYPES, TP
LOGIN, LG
DETAILS, DT
SESSIONS, SESS
ATTENDANCIES, ATND
